"","time","species","col_ext","predictor","df","aic","r2","delta_aic","lklhd","weight"
"46","Phase 3","prey","colonization","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,386.660304051981,0.12276848512278,0,1,0.529240844194014
"47","Phase 3","prey","colonization","density ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,388.666368335199,0.122724152499647,2.00606428321839,0.366765668022977,0.194107371765862
"48","Phase 3","prey","colonization","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,388.78797511454,0.121834679464239,2.1276710625591,0.345129513385226,0.182656635020266
"49","Phase 3","prey","colonization","density ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,390.757019739244,0.122061183057293,4.09671568726321,0.12894648010288,0.0682437439854949
"50","Phase 3","prey","colonization","density ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,392.706212892414,0.122432815237314,6.04590884043341,0.0486572518294204,0.0257514050343632
"51","Phase 3","prey","extinction","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,404.421296838922,0.292256570685057,0,1,0.556452630344444
"52","Phase 3","prey","extinction","density ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,406.392810241897,0.292424560760393,1.97151340297523,0.373156751806258,0.207644056073381
"53","Phase 3","prey","extinction","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,407.831831098169,0.259615663117401,3.41053425924679,0.181723835871206,0.101120706466815
"54","Phase 3","prey","extinction","density ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,408.073800725572,0.294303090189513,3.65250388665027,0.161015935066818,0.0895977405953012
"55","Phase 3","prey","extinction","density ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,409.442936493211,0.262011208245098,5.02163965428917,0.0812016406357715,0.0451848665200593
"56","Phase 3","predator","extinction","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,227.384924062468,0.104400539050735,0,1,0.332934227895977
"57","Phase 3","predator","extinction","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,227.936896375263,0.0851503646902632,0.551972312794931,0.758823435538565,0.252638294620405
"58","Phase 3","predator","extinction","density ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,228.502429607246,0.096021272089306,1.11750554477771,0.571921936029505,0.190412388188756
"59","Phase 3","predator","extinction","density ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,228.830031109994,0.108532327346926,1.44510704752594,0.48551090808786,0.161643199319306
"60","Phase 3","predator","extinction","density ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,230.734584590326,0.109241107821532,3.34966052785768,0.187339975134797,0.0623718899755552
